filename,width,height,class,xmin,ymin,xmax,ymax
Photo_6554415_DJI_815_jpg_5905495_0_202111316420_photo_original.jpg,3000,4000,PalletCaja,2457,1317,2495,1357
2020-10-19_13-32-48_GPS.jpg,4000,6000,Pickup,1028,1614,1065,1654
Photo_6554400_DJI_800_jpg_7591159_0_202111316236_photo_original.jpg,3000,4000,PalletCaja,3675,2661,3707,2695
2020-10-19_13-49-45_GPS.jpg,4000,6000,Vehiculo,603,3390,634,3435
2020-10-19_13-00-33_GPS.jpg,4000,6000,Bus,4875,3719,4925,3773
2021-01-13_12_22_50-5454619-DJI_0014.jpg,3000,4000,Poste,537,1476,687,1532
org_e4b7467df5b4b1a8_1610560580000.jpg,3078,5472,Pickup,2682,1292,2802,1363
2020-10-19_13-37-17_GPS.jpg,4000,6000,Vehiculo,1468,2443,1490,2477
2020-10-19_12-55-58_GPS.jpg,4000,6000,Vehiculo,3172,931,3192,961
2020-10-26_12-10-38_GPS.jpg,4000,6000,Vehiculo,68,3309,138,3405
Photo_6554444_DJI_844_jpg_7821867_0_2021113163736_photo_original.jpg,3000,4000,PalletCaja,2432,1554,2462,1587
2020-10-26_11-25-26_GPS.jpg,4000,6000,Vehiculo,5130,1130,5172,1170
2020-10-19_14-36-46_GPS.jpg,4000,6000,Vehiculo,5763,1267,5811,1309
2020-10-26_12-17-39_GPS.jpg,4000,6000,Vehiculo,2703,663,2759,757
org_f94e31f9c4e959f2_1610541140000.jpg,3078,5472,Cilindro,937,2020,983,2062
2020-10-26_12-52-59_GPS.jpg,4000,6000,Vehiculo,1119,2335,1155,2377
2020-10-19_12-54-59_GPS.jpg,4000,6000,Vehiculo,2816,2059,2840,2087
2020-10-19_12-56-28_GPS.jpg,4000,6000,Vehiculo,2590,2693,2620,2724
Photo_6554210_DJI_610_jpg_8118908_0_202111391352_photo_original.jpg,3000,4000,Poste,1755,843,1824,931
Photo_6554400_DJI_800_jpg_7591159_0_202111316236_photo_original.jpg,3000,4000,PalletCaja,596,760,638,803
2020-08-21_11_49_34-5187743-DJI_0755.jpg,3000,4000,MConstrucción,338,2169,433,2244
Photo_6554332_DJI_732_jpg_8045566_0_2021113145710_photo_original.jpg,3000,4000,Troncos,548,53,628,398
2020-10-19_14-36-37_GPS.jpg,4000,6000,Vehiculo,5642,738,5692,778
2020-10-19_12-54-52_GPS.jpg,4000,6000,Camion,4692,444,4756,494
2020-10-19_12-56-20_GPS.jpg,4000,6000,Piscina,4133,2023,4392,2251
2020-10-19_14-01-08_GPS.jpg,4000,6000,Vehiculo,3427,1664,3473,1710
2020-10-26_12-17-25_GPS.jpg,4000,6000,Vehiculo,3412,165,3474,249
Photo_6554415_DJI_815_jpg_5905495_0_202111316420_photo_original.jpg,3000,4000,PalletCaja,2222,2491,2257,2528
2020-10-26_12-32-15_GPS.jpg,4000,6000,Maquinaria,1261,496,1331,576
2020-10-19_13-37-17_GPS.jpg,4000,6000,Animal,1864,3021,1882,3033
2020-10-26_11-25-26_GPS.jpg,4000,6000,Vehiculo,5259,3246,5297,3282
org_4fd137b1775aca44_1610541144000.jpg,3078,5472,Vehiculo,4907,799,5082,911
2020-08-19_13_32_18-5049000-DJI_0564.jpg,3000,4000,Poste,1120,493,1185,567
2020-10-19_13-29-33_GPS.jpg,4000,6000,Piscina,3390,614,3427,665
2020-10-26_11-23-00_GPS.jpg,4000,6000,Vehiculo,1066,1108,1116,1148
2020-10-19_14-36-37_GPS.jpg,4000,6000,Vehiculo,2445,1170,2481,1218
DJI_0206.JPG,3000,4000,Poste,1867,2804,1909,2921
2020-10-26_12-23-01_GPS.jpg,4000,6000,Vehiculo,5564,939,5626,981
Photo_6554400_DJI_800_jpg_7591159_0_202111316236_photo_original.jpg,3000,4000,PalletCaja,3397,2850,3434,2888
2021-01-13_11_14_20-5144705-DJI_0894.jpg,3000,4000,Tuberia,1267,2357,1463,2552
DJI_0342.JPG,3000,4000,Poste,2329,1392,2414,1453
2020-10-26_12-16-15_GPS.jpg,4000,6000,Vehiculo,4099,542,4185,642
org_8417319bbcf1fe47_1610537356000.jpg,3078,5472,Vehiculo,3669,2289,3843,2386
2021-01-13_11_28_16-4941833-DJI_0923.jpg,3000,4000,MConstrucción,2380,1711,2556,1943
2020-10-19_13-58-58_GPS.jpg,4000,6000,Vehiculo,2884,2974,2934,3032
2020-10-19_14-34-39_GPS.jpg,4000,6000,Vehiculo,4603,1328,4641,1372
2020-10-19_13-40-25_GPS.jpg,4000,6000,Vehiculo,1633,1410,1678,1467
2020-10-19_12-55-58_GPS.jpg,4000,6000,Vehiculo,2323,1442,2351,1471
2020-10-26_12-17-43_GPS.jpg,4000,6000,Vehiculo,321,2634,399,2692
Photo_6554392_DJI_792_jpg_7124546_0_202111316140_photo_original.jpg,3000,4000,PalletCaja,3123,766,3162,813
2020-10-19_13-54-05_GPS.jpg,4000,6000,Camion,3673,2876,3743,2976
2020-10-19_14-03-46_GPS.jpg,4000,6000,Vehiculo,1279,203,1327,259
org_c1bfae073db7762c_1610541194000.jpg,3078,5472,Tuberia,2731,405,2794,795
2020-10-19_14-27-31_GPS.jpg,4000,6000,Vehiculo,2668,1673,2716,1703
2020-10-19_12-58-00_GPS.jpg,4000,6000,Cilindro,3088,2110,3108,2131
org_2c3f6d1faaa463ff_1610541100000.jpg,3078,5472,Cilindro,5295,40,5466,153
2020-10-19_14-11-22_GPS.jpg,4000,6000,Vehiculo,744,57,782,105
2020-10-19_13-52-55_GPS.jpg,4000,6000,Poste,2877,1706,2915,1729
2020-10-19_13-51-56_GPS.jpg,4000,6000,Vehiculo,3630,1495,3676,1572
2020-10-19_12-55-58_GPS.jpg,4000,6000,Vehiculo,3901,590,3920,625
Photo_6554400_DJI_800_jpg_7591159_0_202111316236_photo_original.jpg,3000,4000,PalletCaja,302,660,341,697
Photo_1080623998_DJI_894_jpg_9076122_0_202111311046_photo_original.jpg,3000,4000,Troncos,3515,2763,3617,2847
2020-10-19_13-53-51_GPS.jpg,4000,6000,Poste,3876,1604,3917,1629
2020-10-19_13-57-08_GPS.jpg,4000,6000,Vehiculo,1545,27,1609,117
2020-10-26_12-17-25_GPS.jpg,4000,6000,Vehiculo,2660,1464,2754,1524
2020-10-19_12-56-12_GPS.jpg,4000,6000,Camion,5356,1806,5391,1850
2020-10-19_14-02-05_GPS.jpg,4000,6000,Vehiculo,1606,2140,1642,2186
org_02a744e25132778a_1610553676000.jpg,3078,5472,Poste,3502,983,3535,1008
2021-01-13_10_18_40-5172138-DJI_0056.jpg,3000,4000,Entrada,2443,1501,2499,1655
2020-10-19_13-53-54_GPS.jpg,4000,6000,Poste,5799,3050,5873,3117
2020-10-19_13-57-05_GPS.jpg,4000,6000,Vehiculo,1431,819,1513,887
Photo_1080688689_DJI_49_jpg_7479217_0_2021113122652_photo_original.jpg,3000,4000,Poste,2808,1994,2903,2079
2020-10-26_11-17-48_GPS.jpg,4000,6000,Vehiculo,191,3974,219,3984
2020-10-19_12-56-12_GPS.jpg,4000,6000,Tuberia,2800,2133,2875,2247
2020-10-26_12-23-05_GPS.jpg,4000,6000,Vehiculo,728,2362,768,2404
2020-10-19_13-58-21_GPS.jpg,4000,6000,Vehiculo,3104,3559,3158,3607
2020-10-19_13-55-23_GPS.jpg,4000,6000,Vehiculo,5536,3717,5588,3811
2020-10-19_13-59-15_GPS.jpg,4000,6000,Camion,4632,381,4742,607
Photo_6554415_DJI_815_jpg_5905495_0_202111316420_photo_original.jpg,3000,4000,PalletCaja,1782,359,1817,398
2020-10-26_12-22-30_GPS.jpg,4000,6000,Camion,4034,2656,4146,2730
2020-10-19_12-45-24_GPS.jpg,4000,6000,Poste,2387,138,2408,164
Photo_6554430_DJI_830_jpg_7848930_0_202111316360_photo_original.jpg,3000,4000,PalletCaja,1731,2793,1774,2830
2020-10-19_13-51-56_GPS.jpg,4000,6000,Poste,4409,8,4472,91
2020-10-26_11-16-00_GPS.jpg,4000,6000,Vehiculo,4979,2148,5021,2180
Photo_6554416_DJI_816_jpg_5359590_0_202111316428_photo_original.jpg,3000,4000,PalletCaja,1759,2205,1797,2244
Photo_6554398_DJI_798_jpg_5445568_0_202111316222_photo_original.jpg,3000,4000,Estructura,1312,1719,1476,1770
Photo_6554399_DJI_799_jpg_5565223_0_202111316228_photo_original.jpg,3000,4000,PalletCaja,2479,965,2519,996
2020-10-19_13-00-33_GPS.jpg,4000,6000,Bus,5729,2073,5782,2129
2020-10-19_13-49-54_GPS.jpg,4000,6000,Chasis,3079,3750,3170,3822
